episodio;total_cost;total_co2
1;36378.0762;10096.776
2;39869.6529;10094.733
3;49307.9322;9927.172
4;58567.1554;8568.105
5;56492.3855;8324.728
6;55366.3956;8253.632
7;55180.1336;8269.345
8;55384.3780;8242.520
9;43358.3681;7328.802
10;50005.0222;8273.605
11;50487.5845;8366.962
12;49421.0763;8173.282
13;38658.9006;7454.039
14;41846.3409;7531.453
15;44087.0825;7485.679
16;37892.4218;6685.147
17;40174.4477;7843.390
18;35368.5375;7024.950
19;41500.9394;7958.357
20;41287.2623;8086.266
21;35286.5048;7280.405
22;34570.2177;7126.670
23;33517.6202;7105.104
24;26303.3851;7133.042
25;25722.4293;7156.000
26;20618.4775;7484.226
27;20706.1231;7543.675
28;22962.1908;6898.821
29;24265.8084;7068.803
30;20232.3468;7492.269
31;19587.7242;7427.158
32;20545.5283;7565.101
33;24731.9778;7196.805
34;19755.7439;7359.233
35;19276.8062;7379.680
36;19228.2711;7443.505
37;19142.8444;7520.066
38;18920.0502;7475.434
39;18281.5610;7438.630
40;18269.6398;7391.090
41;18070.7486;7402.644
42;16795.3329;7178.925
43;17551.7931;7337.797
44;22661.8315;7029.048
45;16947.6714;6757.836
46;17083.5367;6688.560
47;22372.1774;6947.923
48;18170.8649;6801.941
49;24098.3491;7017.353
50;24247.2102;7066.078
51;23628.2332;6963.115
52;23245.0038;6894.533
53;23803.6477;6952.840
54;20132.4656;6712.308
55;23462.6543;6934.830
56;17750.4030;6725.319
57;19736.5025;6616.540
58;24389.6372;7072.490
59;24889.8328;7126.660
60;26555.2549;7072.950
61;25899.3256;7122.280
62;26503.5957;7139.301
63;33005.7555;7278.005
64;26501.8479;7141.019
65;25270.0483;7201.832
66;28174.1818;7467.589
67;32155.7141;7443.948
68;25084.0611;7150.170
69;24536.4487;7125.742
70;17969.8790;7249.656
71;25241.7366;7185.097
72;24825.3125;7184.252
73;19809.4476;7526.090
74;33746.0837;7203.536
75;27017.3475;7193.823
76;25569.3314;7227.233
77;20616.7204;7528.925
78;25890.0150;7214.808
79;19480.0781;7511.629
80;19125.6130;7481.983
81;19082.4395;7486.755
82;17425.8403;7392.856
83;19270.6180;7494.542
84;19385.6897;7535.155
85;20017.8193;7495.030
86;18810.1426;7504.897
87;19139.5662;7479.740
88;18690.5189;7533.854
89;19274.6824;7539.139
90;18110.6956;7439.524
91;18521.0253;7460.447
92;16676.8771;7118.655
93;17430.8566;7263.199
94;16685.8134;7225.206
95;22915.8191;6922.028
96;18855.5329;7389.116
97;20353.2055;7521.462
98;26307.5351;7760.486
99;19344.6196;7536.010
100;19952.4378;7550.397
101;27505.9270;7670.707
102;20685.5057;7555.151
103;19688.4260;7552.667
104;19274.3105;7502.732
105;16631.7995;7362.939
106;17530.4704;7392.792
107;17530.3171;7281.222
